fr.en,1,2,3,4,5,6,7,8
1,0.3731012536223182,0.20412414523193154,0.125,0.0,0.0,0.0,0.0,0.0
2,0.1846372364689991,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.4008918628686366,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
