fr.it,1,2,3,4,5,6,7,8
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.26462806201248157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.24759378423606918,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.1781741612749496,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
