it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,0.4117647058823529,0.15789473684210525,0.0,0.047619047619047616,0.06896551724137931,0.03571428571428571,0.06818181818181818,0.07317073170731707,0.045454545454545456,0.05,0.13043478260869565,0.07692307692307693,0.07142857142857142,0.05555555555555555,0.125,0.0,0.043478260869565216,0.04,0.041666666666666664,0.038461538461538464,0.0625,0.05555555555555555,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.05555555555555555,0.041666666666666664,0.08333333333333333,0.0,0.0625,0.0,0.05263157894736842,0.10526315789473684,0.07407407407407407,0.0,0.09523809523809523,0.030303030303030304,0.0
2,0.024096385542168676,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.06976744186046512,0.0975609756097561,0.04854368932038835,0.06060606060606061,0.05,0.012345679012345678,0.023529411764705882,0.022988505747126436,0.011111111111111112,0.012658227848101266,0.025974025974025976,0.024096385542168676,0.011904761904761904,0.011627906976744186,0.023809523809523808,0.047619047619047616,0.012987012987012988,0.012658227848101266,0.011764705882352941,0.011627906976744186,0.012195121951219513,0.0,0.024691358024691357,0.01282051282051282,0.011363636363636364,0.012658227848101266,0.011764705882352941,0.023529411764705882,0.011494252873563218,0.021505376344086023,0.012345679012345678,0.0125,0.012345679012345678,0.022727272727272728,0.011235955056179775,0.024390243902439025,0.03260869565217391,0.011904761904761904
3,0.07142857142857142,0.0,0.08333333333333333,0.08333333333333333,0.2222222222222222,0.0,0.02702702702702703,0.029411764705882353,0.0,0.0,0.0625,0.05555555555555555,0.05,0.0,0.0,0.0,0.07142857142857142,0.0625,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.05555555555555555,0.1111111111111111,0.06666666666666667,0.0625,0.0,0.041666666666666664,0.09090909090909091,0.0,0.09090909090909091,0.1111111111111111,0.0,0.07692307692307693,0.041666666666666664,0.07142857142857142
4,0.09375,0.06451612903225806,0.0,0.03125,0.05,0.02564102564102564,0.45,0.0784313725490196,0.13333333333333333,0.03225806451612903,0.15625,0.08333333333333333,0.20588235294117646,0.034482758620689655,0.07407407407407407,0.12903225806451613,0.06060606060606061,0.027777777777777776,0.02857142857142857,0.08571428571428572,0.037037037037037035,0.034482758620689655,0.058823529411764705,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.034482758620689655,0.02857142857142857,0.05714285714285714,0.0,0.046511627906976744,0.0,0.03333333333333333,0.06666666666666667,0.05263157894736842,0.02564102564102564,0.0625,0.022727272727272728,0.0
5,0.0625,0.07142857142857142,0.0,0.07142857142857142,0.0,0.047619047619047616,0.02564102564102564,0.05714285714285714,0.06666666666666667,0.07692307692307693,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.125,0.05263157894736842,0.0,0.09090909090909091,0.058823529411764705,0.05555555555555555,0.0,0.0,0.07142857142857142,0.1,0.05,0.09090909090909091,0.058823529411764705,0.11764705882352941,0.05263157894736842,0.038461538461538464,0.07692307692307693,0.0,0.0,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.038461538461538464,0.0625
6,0.029411764705882353,0.03125,0.03125,0.03125,0.024390243902439025,0.05263157894736842,0.05454545454545454,0.375,0.0967741935483871,0.03225806451612903,0.027777777777777776,0.08333333333333333,0.0,0.0,0.03571428571428571,0.09375,0.029411764705882353,0.05714285714285714,0.125,0.08571428571428572,0.0,0.034482758620689655,0.058823529411764705,0.027777777777777776,0.0,0.0,0.03125,0.03571428571428571,0.05405405405405406,0.034482758620689655,0.02857142857142857,0.05714285714285714,0.02702702702702703,0.022727272727272728,0.06666666666666667,0.0,0.0,0.05263157894736842,0.02564102564102564,0.0625,0.07142857142857142,0.09375
7,0.09090909090909091,0.1111111111111111,0.0,0.0,0.05555555555555555,0.0,0.029411764705882353,0.03225806451612903,0.1,0.0,0.07692307692307693,0.06666666666666667,0.058823529411764705,0.16666666666666666,0.2,0.0,0.09090909090909091,0.07692307692307693,0.0,0.07142857142857142,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.14285714285714285,0.125,0.0625,0.0,0.0,0.047619047619047616,0.0
8,0.04,0.043478260869565216,0.043478260869565216,0.0,0.06451612903225806,0.0,0.0425531914893617,0.12195121951219512,0.13636363636363635,0.21052631578947367,0.16666666666666666,0.1111111111111111,0.06666666666666667,0.05,0.05263157894736842,0.04,0.18181818181818182,0.07692307692307693,0.08,0.07407407407407407,0.05555555555555555,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.043478260869565216,0.05263157894736842,0.07142857142857142,0.05,0.038461538461538464,0.037037037037037035,0.03571428571428571,0.058823529411764705,0.09523809523809523,0.047619047619047616,0.045454545454545456,0.10714285714285714,0.06896551724137931,0.041666666666666664,0.09090909090909091,0.13043478260869565
9,0.043478260869565216,0.0,0.047619047619047616,0.0,0.06896551724137931,0.0,0.044444444444444446,0.047619047619047616,0.0,0.0,0.13043478260869565,0.037037037037037035,0.034482758620689655,0.0,0.0,0.043478260869565216,0.043478260869565216,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.04,0.0,0.0,0.037037037037037035,0.05555555555555555,0.08695652173913043,0.08333333333333333,0.0,0.0625,0.05,0.0,0.05,0.11538461538461539,0.0,0.045454545454545456,0.0625,0.09090909090909091
10,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.05,0.05555555555555555,0.027777777777777776,0.0625,0.0,0.1,0.0,0.125,0.0,0.0,0.14285714285714285,0.0,0.07692307692307693,0.06666666666666667,0.15384615384615385,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.06666666666666667,0.0,0.0,0.1,0.0,0.0,0.05555555555555555,0.0,0.08333333333333333,0.043478260869565216,0.07692307692307693
