it.fr,1,2,3,4,5,6
1,0.18070158058105026,0.13801311186847084,0.10573610652753622,0.06388765649999399,0.13259870882635919,0.21128856368212914
2,0.13363062095621228,0.05103103630798292,0.0,0.0,0.2206306520304572,0.3125000000000002
3,0.20869596778242056,0.382546027838003,0.0,0.2951406680504776,0.030628194591584446,0.01952172023607576
4,0.21677749238103003,0.331133089266261,0.2706040365966954,0.12262786789699316,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.3170114791543561,0.04490132550669373
7,0.0,0.0,0.0,0.0,0.07548513560963972,0.024056261216234408
8,0.0890870806374748,0.0,0.0,0.1259881576697424,0.0,0.0
9,0.0,0.0,0.0,0.0,0.042796049251091296,0.02727723627949905
10,0.07636035483212125,0.0,0.0,0.0,0.16809954440415775,0.17857142857142858
11,0.20203050891044214,0.0,0.0,0.0,0.22237479499833035,0.3779644730092272
12,0.1690308509457033,0.0,0.0,0.0,0.1860521018838127,0.3952847075210474
13,0.28829998806257884,0.0,0.0,0.0,0.3437758254761643,0.5562148865321748
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.2760262237369417,0.31622776601683794,0.0,0.2927700218845599,0.15191090506255,0.3550234734023465
