it.en,1,2,3,4,5,6,7,8,9,10,11,12
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.05555555555555555,0.0,0.03333333333333333
3,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.03571428571428571
4,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.02857142857142857,0.030303030303030304
5,0.05555555555555555,0.125,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.03225806451612903,0.034482758620689655
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.043478260869565216,0.0,0.043478260869565216,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.034482758620689655,0.0
10,0.07692307692307693,0.08333333333333333,0.0,0.047619047619047616,0.14285714285714285,0.11764705882352941,0.0,0.05555555555555555,0.0,0.0,0.08,0.08695652173913043
11,0.09090909090909091,0.09523809523809523,0.14285714285714285,0.06666666666666667,0.04,0.07407407407407407,0.0,0.07407407407407407,0.0,0.0,0.08823529411764706,0.09375
12,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.034482758620689655,0.0
13,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.043478260869565216,0.0,0.0,0.06666666666666667,0.04,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
16,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.02564102564102564,0.02631578947368421,0.02564102564102564,0.06666666666666667,0.05,0.046511627906976744,0.0,0.07142857142857142,0.0,0.0,0.06,0.0625
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
21,0.0,0.0,0.02040816326530612,0.03571428571428571,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0425531914893617,0.0,0.016129032258064516,0.016666666666666666
22,0.047619047619047616,0.0,0.0,0.034482758620689655,0.09090909090909091,0.2857142857142857,0.0,0.0,0.0,0.0,0.029411764705882353,0.1
23,0.0,0.0,0.06666666666666667,0.043478260869565216,0.058823529411764705,0.05,0.0,0.0,0.07142857142857142,0.0,0.0,0.08
24,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.02857142857142857,0.0625
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
