it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.16666666666666669,0.0,0.0,0.0,0.0,0.11322770341445959,0.0,0.1543033499620919,0.0,0.08006407690254358,0.0,0.0,0.0,0.14433756729740646,0.0,0.0
2,0.06454972243679029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.1178511301977579,0.1178511301977579,0.10206207261596574,0.09805806756909201,0.0,0.26726124191242434,0.0,0.1386750490563073,0.0,0.0,0.0,0.12499999999999997,0.0944911182523068,0.0
4,0.0,0.0,0.0,0.0,0.0,0.10482848367219183,0.0,0.14285714285714285,0.0,0.07412493166611012,0.0,0.0,0.0,0.13363062095621217,0.0,0.14285714285714285
5,0.0,0.0,0.09622504486493763,0.0,0.0,0.08006407690254358,0.0,0.1091089451179962,0.0,0.056613851707229795,0.0,0.0,0.0,0.10206207261596574,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
7,0.0,0.0,0.242535625036333,0.0,0.0700140042014005,0.06726727939963126,0.0,0.0,0.0,0.04756514941544941,0.0,0.0,0.0,0.0,0.06482037235521644,0.0
8,0.0,0.0,0.06950480468569159,0.0,0.4815434123430769,0.2891574659831202,0.0,0.23643312187173018,0.10425720702853739,0.12267912301642962,0.0,0.0,0.07881104062391006,0.14744195615489714,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.5303300858899106,0.0,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.14213381090374028,0.0,0.0,0.0,0.1005037815259212,0.04828045495852676,0.0,0.19738550848793066,0.0,0.3413943709994594,0.2461829819586654,0.0,0.0,0.06154574548966635,0.0,0.0
11,0.06711560552140244,0.0,0.0547996624351191,0.0547996624351191,0.1898315991504998,0.0,0.0,0.12427395320024001,0.0,0.32241294010958055,0.11624763874381928,0.13678822577626598,0.18641092980036,0.0,0.04393747751637469,0.0
12,0.0,0.0,0.09622504486493763,0.09622504486493763,0.08333333333333334,0.0,0.0,0.0,0.0,0.22645540682891918,0.10206207261596574,0.5604485383178051,0.2182178902359924,0.10206207261596574,0.07715167498104597,0.0
13,0.0,0.0,0.0,0.0,0.0,0.08006407690254358,0.0,0.0,0.0,0.0,0.0,0.08006407690254358,0.3273268353539886,0.0,0.3857583749052298,0.0
14,0.1276884796138123,0.0,0.06950480468569159,0.06950480468569159,0.12038585308576923,0.11566298639324807,0.0,0.15762208124782012,0.0,0.20446520502738272,0.07372097807744857,0.057831493196624034,0.07881104062391006,0.2211629342323457,0.27863910628767646,0.0
15,0.0,0.0,0.09245003270420486,0.09245003270420486,0.08006407690254358,0.0,0.0,0.0,0.0,0.21757131728816848,0.0,0.15384615384615385,0.20965696734438366,0.0,0.07412493166611013,0.3144854510165755
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4364357804719848
