de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.32539568672798425,0.09901475429766744,0.19026059766179765,0.0,0.0,0.0,0.13453455879926252,0.0,0.0,0.19802950859533489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10585122480499262
2,0.2961744388795462,0.054073807043587524,0.4935481167928247,0.16222142113076257,0.07947194142390268,0.0441510785688348,0.22041550751119357,0.03311330892662612,0.030386856273138214,0.16222142113076257,0.04188539082916956,0.15294382258037456,0.050062617432175896,0.050062617432175896,0.07347183583706453,0.0,0.0,0.0,0.09365858115816941,0.08671099695241205
3,0.0,0.0,0.08178608201095308,0.0,0.37532594530273455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11566298639324807,0.11145564251507058,0.0,0.0,0.0,0.22750787759664506
4,0.0,0.0,0.0,0.0,0.06666666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1781741612749496,0.0,0.0,0.1178511301977579,0.0
5,0.29814239699997197,0.0,0.06537204504606135,0.13608276348795434,0.0,0.1111111111111111,0.6471502289294341,0.0,0.0,0.13608276348795434,0.0,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.1178511301977579,0.0
6,0.0,0.09901475429766744,0.0,0.0,0.0,0.08084520834544433,0.06726727939963126,0.7276068751089989,0.0,0.0,0.0,0.140028008402801,0.0,0.0,0.06726727939963126,0.0,0.0,0.0,0.08574929257125441,0.05292561240249631
7,0.0,0.0,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.16222142113076252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.1025978352085154,0.0,0.04499212706658475,0.0,0.04588314677411235,0.0,0.06362847629757777,0.0,0.26315789473684204,0.1873171623163388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05006261743217588
11,0.14142135623730948,0.0,0.12403473458920847,0.0,0.0,0.0,0.08770580193070293,0.0,0.0,0.12909944487358058,0.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.13483997249264842,0.12309149097933275,0.11826247919781652,0.12309149097933275,0.06030226891555273,0.10050378152592121,0.16724840200141816,0.15075567228888181,0.0,0.0,0.0,0.4351941398892446,0.11396057645963795,0.0,0.08362420100070908,0.0,0.0,0.0,0.10660035817780521,0.1315903389919538
13,0.0,0.0,0.04902903378454601,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.07216878364870323,0.3779644730092272,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.062017367294604234,0.0,0.18973665961010275,0.10540925533894598,0.0,0.07905694150420949,0.0,0.0,0.0,0.0,0.0,0.0,0.2631174057921088,0.1690308509457033,0.0,0.0,0.11180339887498948,0.20701966780270628
