it.en,1,2,3,4,5,6
1,0.3086066999241839,0.23570226039551587,0.15309310892394862,0.13693063937629152,0.10206207261596574,0.10502100630210075
2,0.0,0.0,0.0,0.09534625892455924,0.0,0.0
3,0.0668153104781061,0.051031036307982884,0.0,0.0,0.0,0.0
4,0.288675134594813,0.2519763153394849,0.27277236279499056,0.0,0.0,0.0
5,0.10022296571715919,0.02551551815399145,0.0,0.23717082451262853,0.2209708691207962,0.3638034375544996
6,0.0944911182523068,0.0,0.0,0.11180339887498948,0.12499999999999997,0.17149858514250882
7,0.0,0.0,0.2886751345948129,0.06454972243679029,0.07216878364870323,0.09901475429766744
8,0.0,0.0,0.08838834764831843,0.0,0.0,0.0
9,0.0,0.05270462766947299,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.061545745489666376,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.044543540318737404,0.0,0.06900655593423542,0.0,0.0
14,0.0,0.0,0.0,0.14509525002200233,0.0,0.0
15,0.0,0.0,0.06454972243679027,0.05773502691896257,0.0,0.0
16,0.05572782125753529,0.042562826537937436,0.07372097807744857,0.0,0.0,0.10114434748483474
17,0.046524210519923545,0.07106690545187015,0.12309149097933272,0.0,0.06154574548966636,0.04222003309207491
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.06434894520877868,0.024573659359149524,0.08512565307587484,0.0,0.0,0.17518714874213515
20,0.0668153104781061,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.15430334996209194,0.05892556509887897,0.20412414523193148,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.05564148840746571
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.04811252243246882,0.25,0.14907119849998599,0.08333333333333333,0.1143323900950059
