de.it,1,2,3,4,5,6,7,8,9,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.045454545454545456,0.0,0.0,0.02857142857142857,0.0967741935483871,0.1,0.0,0.037037037037037035,0.03773584905660377,0.022222222222222223
3,0.027777777777777776,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.06666666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988
6,0.1111111111111111,0.0,0.0,0.07142857142857142,0.037037037037037035,0.0,0.0,0.047619047619047616,0.020833333333333332,0.0
7,0.1,0.0,0.0,0.0,0.05,0.05263157894736842,0.0,0.07142857142857142,0.0,0.01282051282051282
8,0.0,0.10526315789473684,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0
9,0.045454545454545456,0.0,0.0,0.2857142857142857,0.0625,0.03125,0.0,0.12,0.03773584905660377,0.022222222222222223
10,0.0425531914893617,0.0,0.0,0.08333333333333333,0.23333333333333334,0.09090909090909091,0.0,0.03333333333333333,0.03571428571428571,0.03260869565217391
11,0.027777777777777776,0.0,0.0,0.038461538461538464,0.041666666666666664,0.14285714285714285,0.0,0.11764705882352941,0.022222222222222223,0.012195121951219513
12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,0.027777777777777776,0.0,0.0,0.038461538461538464,0.041666666666666664,0.043478260869565216,0.0,0.1875,0.022222222222222223,0.024691358024691357
14,0.043478260869565216,0.0,0.0,0.02702702702702703,0.058823529411764705,0.09375,0.0,0.034482758620689655,0.32558139534883723,0.044444444444444446
15,0.045454545454545456,0.0,0.0,0.0,0.030303030303030304,0.06451612903225806,0.0,0.037037037037037035,0.03773584905660377,0.12195121951219512
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.03896103896103896
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.09195402298850575
18,0.02564102564102564,0.0,0.15384615384615385,0.0,0.037037037037037035,0.038461538461538464,0.0,0.047619047619047616,0.020833333333333332,0.011764705882352941
