de.it,1,2,3,4,5,6,7,8,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.236227795630767,0.0,0.08971226080325131,0.0,0.0,0.0492067831305123,0.18333969940564224,0.0,0.1889822365046136
3,0.12126781251816648,0.0,0.028783683125170184,0.0,0.05057217374241737,0.06315089779506727,0.11764705882352941,0.0,0.06063390625908324
4,0.0,0.0,0.04485613040162566,0.0,0.0,0.09841356626102461,0.0,0.0,0.0
5,0.0,0.0,0.04845015831115092,0.0,0.08512565307587487,0.053149400345273407,0.0,0.0,0.0
6,0.07905694150420949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.2857142857142857,0.0,0.01695402368848362,0.10101525445522107,0.05957554687344994,0.14878732683522733,0.0692958928675237,0.0,0.10714285714285714
8,0.11180339887498948,0.0,0.0,0.0,0.0,0.058222250973958216,0.0,0.0,0.0
9,0.17677669529663687,0.0,0.0839181358296689,0.0,0.0,0.09205746178983237,0.17149858514250882,0.0,0.17677669529663687
10,0.2651650429449553,0.0,0.0839181358296689,0.0,0.0,0.04602873089491619,0.17149858514250882,0.0,0.17677669529663687
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.07537783614444091,0.0,0.0,0.10660035817780521,0.12573892269238632,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.12126781251816648,0.0,0.11513473250068074,0.08574929257125441,0.0,0.09472634669260091,0.29411764705882354,0.15877683720748895,0.12126781251816648
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
