de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0.3195048252113469,0.09534625892455924,0.07905694150420949,0.3415650255319867,0.11858541225631426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659380473395787,0.055048188256318034,0.0,0.0761386987626881,0.07905694150420949,0.0,0.0,0.0,0.18257418583505536,0.0,0.0,0.0,0.0
2,0.05892556509887897,0.0,0.0,0.0,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.3857583749052298,0.16116459280507606,0.0668153104781061,0.24743582965269684,0.33407655239053063,0.1889822365046136,0.1091089451179962,0.0,0.06900655593423542,0.0,0.0,0.0,0.0,0.0,0.0,0.05572782125753529,0.046524210519923545,0.0,0.06434894520877868,0.0,0.0,0.0,0.0,0.15430334996209194,0.0,0.0,0.0,0.18898223650461363
4,0.19364916731037085,0.0,0.05590169943749474,0.2070196678027063,0.02795084971874738,0.0,0.09128709291752768,0.22360679774997896,0.05773502691896257,0.0,0.0,0.0,0.0,0.0,0.1632993161855452,0.09325048082403138,0.11677484162422844,0.0,0.05383819020581655,0.05590169943749474,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.10540925533894598
5,0.0,0.0,0.0,0.0,0.02795084971874738,0.0,0.0,0.0,0.0,0.0,0.0,0.1732050807568877,0.0,0.0,0.0,0.04662524041201569,0.0,0.07071067811865474,0.0,0.0,0.0,0.0,0.062017367294604234,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.041666666666666685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14547859349066158,0.30588764516074896,0.12171612389003691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31426968052735443
7,0.0,0.0,0.0,0.08908708063747482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.140028008402801,0.0,0.0,0.29939247542604797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04428074427700476,0.05057217374241737,0.04222003309207491,0.0,0.08759357437106757,0.06063390625908324,0.0,0.0,0.0,0.2100420126042015,0.05292561240249631,0.05564148840746571,0.0,0.0
9,0.0,0.0778498944161523,0.0,0.0,0.0645497224367903,0.0,0.31622776601683794,0.06454972243679027,0.0,0.0,0.0,0.0,0.0,0.0,0.04714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05923488777590923,0.0,0.18257418583505539
10,0.0,0.0,0.0,0.0,0.2638224265055433,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.1556997888323046,0.0,0.06917144638660747,0.055048188256318034,0.06286946134619316,0.0,0.0,0.18148850216015694,0.0,0.0,0.0,0.0,0.0,0.0,0.27668578554642986,0.0,0.21320071635561047
11,0.2727723627949905,0.0,0.0,0.2916059217599022,0.28347335475692054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15762208124782012,0.0657951694959769,0.0,0.31851102863530306,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.17342199390482396,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07715167498104596,0.24333213169614376,0.06454972243679027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08111071056538126,0.0,0.08333333333333333
13,0.10206207261596574,0.10660035817780521,0.0,0.0,0.2209708691207962,0.12499999999999997,0.07216878364870323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07372097807744857,0.06154574548966636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
14,0.0,0.0,0.0,0.0,0.2209708691207962,0.0,0.07216878364870323,0.17677669529663687,0.0,0.0,0.0,0.0,0.0,0.08111071056538126,0.06454972243679027,0.07372097807744857,0.24618298195866545,0.0,0.21281413268968713,0.0,0.0,0.0,0.0,0.0,0.0,0.08111071056538126,0.0,0.16666666666666666
15,0.18057877962865385,0.0,0.05212860351426869,0.19304683562633612,0.07819290527140307,0.0,0.042562826537937436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869568,0.07259540086406277,0.0,0.100408742467761,0.0,0.0,0.0,0.0,0.12038585308576923,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333334,0.3061862178478973,0.10540925533894598,0.0,0.0,0.0,0.0,0.0936585811581694,0.14907119849998599,0.0,0.1421338109037403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09622504486493764
