de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.0,0.22645540682891918,0.09245003270420486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773500981126146,0.0,0.09805806756909201,0.06537204504606135,0.0,0.0,0.0,0.0,0.0,0.0,0.39223227027636814
2,0.16666666666666666,0.0,0.1178511301977579,0.0,0.0,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.16666666666666666,0.24999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23570226039551587
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598
5,0.0,0.16329931618554522,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07071067811865475,0.09428090415820635,0.07071067811865475,0.04588314677411235,0.0,0.0,0.0,0.0,0.047140452079103175
6,0.0,0.08703882797784893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20100756305184242
7,0.0,0.11785113019775793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4082482904638631
8,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06933752452815364,0.0
9,0.0,0.0,0.16666666666666666,0.0,0.0,0.1336306209562122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11785113019775793,0.0,0.22941573387056174,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06622661785325219,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16903085094570328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889822365046136,0.0,0.0
12,0.0,0.0,0.0,0.0,0.16903085094570328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.28867513459481287,0.0,0.0,0.07715167498104597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06804138174397717,0.0,0.13245323570650439,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.1259881576697424,0.0,0.0,0.10101525445522107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1781741612749496,0.0,0.17342199390482396,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,0.0,0.16666666666666666,0.0,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.30588764516074896,0.16666666666666666,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.20412414523193148,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14907119849998599,0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.1111111111111111,0.0,0.0,0.0890870806374748,0.1259881576697424,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.1178511301977579,0.07856742013183861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.1111111111111111,0.0,0.0,0.0890870806374748,0.2519763153394848,0.0,0.0,0.0,0.0,0.0,0.0,0.07856742013183861,0.0,0.22941573387056172,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.1259881576697424,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.13363062095621217,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.13608276348795434,0.0,0.0,0.1091089451179962,0.0,0.0,0.0,0.11785113019775793,0.0,0.0,0.0,0.09622504486493764,0.0,0.1873171623163388,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.14907119849998599,0.0,0.0,0.11952286093343936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.0,0.2051956704170308,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.1259881576697424,0.0,0.0,0.10101525445522107,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0890870806374748,0.13363062095621217,0.17342199390482396,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11785113019775793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.1091089451179962,0.0,0.0,0.0,0.11785113019775793,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.06900655593423542,0.0,0.0,0.0,0.07453559924999299,0.0,0.5163977794943222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889822365046136,0.0,0.3273268353539886,0.0,0.1889822365046136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0890870806374748
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07453559924999299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
