de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.2,0.15,0.058823529411764705,0.05,0.09090909090909091,0.11764705882352941,0.05263157894736842,0.0,0.0,0.0,0.0,0.06451612903225806,0.08,0.09523809523809523,0.0625,0.0,0.09523809523809523,0.06451612903225806,0.0,0.13636363636363635,0.0
2,0.038461538461538464,0.06666666666666667,0.17391304347826086,0.07142857142857142,0.03125,0.0,0.0,0.05555555555555555,0.041666666666666664,0.025,0.0,0.024390243902439025,0.125,0.0,0.0,0.0,0.03225806451612903,0.024390243902439025,0.0,0.030303030303030304,0.1
3,0.10526315789473684,0.08333333333333333,0.10526315789473684,0.0,0.08,0.047619047619047616,0.0,0.06666666666666667,0.11764705882352941,0.12903225806451613,0.06666666666666667,0.09090909090909091,0.07142857142857142,0.08333333333333333,0.027777777777777776,0.0,0.04,0.02857142857142857,0.07142857142857142,0.12,0.14285714285714285
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.05,0.04,0.05,0.0,0.038461538461538464,0.047619047619047616,0.0,0.03225806451612903,0.05555555555555555,0.12903225806451613,0.06666666666666667,0.125,0.0,0.08333333333333333,0.12121212121212122,0.0,0.08333333333333333,0.058823529411764705,0.07142857142857142,0.037037037037037035,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.06451612903225806,0.0,0.030303030303030304,0.037037037037037035,0.043478260869565216,0.06060606060606061,0.0,0.043478260869565216,0.030303030303030304,0.0,0.0,0.0
7,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.04,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
9,0.1111111111111111,0.08695652173913043,0.05263157894736842,0.045454545454545456,0.08333333333333333,0.10526315789473684,0.047619047619047616,0.0,0.0,0.13333333333333333,0.0,0.12903225806451613,0.03571428571428571,0.08695652173913043,0.16129032258064516,0.0,0.08695652173913043,0.06060606060606061,0.0,0.08,0.0
10,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.058823529411764705,0.08,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.06451612903225806,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0
13,0.12,0.06451612903225806,0.037037037037037035,0.03333333333333333,0.0625,0.07407407407407407,0.034482758620689655,0.0,0.0,0.10526315789473684,0.0,0.19444444444444445,0.027777777777777776,0.1,0.15789473684210525,0.0,0.06451612903225806,0.075,0.0,0.06060606060606061,0.0
