de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.39223227027636803,0.27386127875258304,0.09805806756909201,0.09805806756909201,0.24333213169614376,0.21320071635561041,0.09128709291752767,0.0,0.0,0.0,0.0,0.1414213562373095,0.1414213562373095,0.18257418583505533,0.18749999999999997,0.0,0.18257418583505533,0.13363062095621217,0.0,0.25724787771376323,0.0
2,0.062017367294604234,0.1732050807568877,0.24806946917841693,0.12403473458920847,0.0512989176042577,0.0,0.0,0.11677484162422844,0.15811388300841897,0.09128709291752768,0.0,0.044721359549995794,0.31304951684997057,0.0,0.0,0.0,0.05773502691896257,0.04225771273642582,0.0,0.05423261445466404,0.29999999999999993
3,0.16724840200141816,0.1556997888323046,0.16724840200141816,0.0,0.13834289277321493,0.09090909090909091,0.0,0.1049727762162956,0.21320071635561041,0.2461829819586655,0.13483997249264842,0.18090680674665818,0.18090680674665818,0.1556997888323046,0.053300179088902604,0.0,0.0778498944161523,0.05698028822981897,0.15075567228888181,0.21938172723813917,0.26967994498529685
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.08362420100070908,0.0778498944161523,0.08362420100070908,0.0,0.06917144638660747,0.09090909090909091,0.0,0.0524863881081478,0.10660035817780521,0.2461829819586655,0.13483997249264842,0.24120907566221092,0.0,0.1556997888323046,0.26650089544451305,0.0,0.1556997888323046,0.11396057645963795,0.15075567228888181,0.07312724241271307,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178511301977579,0.13608276348795434,0.0,0.06666666666666667,0.06666666666666667,0.08606629658238703,0.1178511301977579,0.0,0.08606629658238703,0.0629940788348712,0.0,0.0,0.0
7,0.0,0.14907119849998599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.19611613513818402,0.0,0.0,0.0,0.0,0.0,0.24999999999999994,0.14433756729740646,0.0,0.1414213562373095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17149858514250882,0.0
9,0.17541160386140586,0.1632993161855452,0.08770580193070293,0.08770580193070293,0.21764287503300347,0.19069251784911848,0.0816496580927726,0.0,0.0,0.25819888974716115,0.0,0.25298221281347033,0.06324555320336758,0.1632993161855452,0.33541019662496846,0.0,0.1632993161855452,0.11952286093343936,0.0,0.15339299776947407,0.0
10,0.0,0.0,0.0,0.0,0.08671099695241198,0.0,0.0,0.1315903389919538,0.0,0.0,0.0,0.0,0.15118578920369088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0936585811581694,0.0,0.10540925533894598,0.1421338109037403,0.0,0.0,0.0,0.0,0.16329931618554522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21650635094610968,0.0,0.1414213562373095,0.0,0.0,0.18749999999999997,0.0,0.0,0.0,0.0,0.0,0.0
13,0.19611613513818407,0.12171612389003691,0.06537204504606135,0.06537204504606135,0.16222142113076254,0.1421338109037403,0.06085806194501846,0.0,0.0,0.1924500897298753,0.0,0.32998316455372223,0.047140452079103175,0.18257418583505539,0.2916666666666667,0.0,0.12171612389003691,0.1336306209562122,0.0,0.1143323900950059,0.0
