it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.0,0.0,0.0,0.0,0.1720618004029213,0.1889822365046136,0.3535533905932738,0.09933992677987828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05590169943749474
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.33806170189140655,0.4743416490252569,0.11846977555181847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998
4,0.0,0.0,0.0,0.0,0.0,0.26726124191242434,0.31249999999999994,0.28097574347450816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07905694150420949
5,0.5200314339611525,0.0625,0.0,0.0,0.11470786693528087,0.0,0.0,0.23179316248638265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.09805806756909206,0.47140452079103173,0.0,0.17149858514250885,0.0,0.0,0.0,0.0,0.047140452079103175,0.0,0.0,0.0,0.0,0.0,0.0890870806374748,0.15811388300841897
7,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.12126781251816648,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1336306209562122,0.0,0.0,0.0,0.11180339887498948
9,0.026207120918047968,0.0944911182523068,0.0,0.04583492485141056,0.0,0.0,0.0,0.0,0.4535573676110727,0.0944911182523068,0.13363062095621217,0.050507627227610534,0.1709408646894569,0.16903085094570328,0.14285714285714285,0.16903085094570328
10,0.0,0.08333333333333333,0.0,0.08084520834544433,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.4472135954999579,0.0629940788348712,0.29814239699997197
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.03706246583305507,0.1336306209562122,0.1091089451179962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.08058229640253803,0.0,0.30304576336566325,0.0
13,0.0,0.0,0.0,0.140028008402801,0.0,0.0,0.0,0.1147078669352809,0.0,0.0,0.0,0.0,0.0,0.0,0.0545544725589981,0.06454972243679027
