de.en,1,2,3,4,5,6,7,8,9
1,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.05128205128205128,0.0,0.06976744186046512,0.06896551724137931,0.0,0.0625,0.0,0.0392156862745098,0.0
3,0.02857142857142857,0.0,0.025,0.04,0.0,0.07407407407407407,0.0,0.043478260869565216,0.0
4,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.02702702702702703,0.0
5,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.038461538461538464,0.030303030303030304,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
7,0.0,0.05,0.04477611940298507,0.057692307692307696,0.041666666666666664,0.017543859649122806,0.019230769230769232,0.04054054054054054,0.0
8,0.0,0.047619047619047616,0.03571428571428571,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
9,0.038461538461538464,0.041666666666666664,0.06666666666666667,0.13333333333333333,0.0,0.1111111111111111,0.0,0.05405405405405406,0.0
10,0.038461538461538464,0.08695652173913043,0.06666666666666667,0.21428571428571427,0.0,0.1111111111111111,0.0,0.05405405405405406,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.041666666666666664,0.03225806451612903,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
15,0.03125,0.0,0.05555555555555555,0.09523809523809523,0.0,0.5294117647058824,0.0,0.0975609756097561,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.02857142857142857,0.0
