de.en,1,2,3,4,5,6,7,8,9
1,0.0778498944161523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.09869275424396534,0.0,0.296078262731896,0.2519763153394848,0.0,0.2182178902359924,0.0,0.13576884666042613,0.0
3,0.04222003309207491,0.0,0.08444006618414981,0.08084520834544433,0.0,0.140028008402801,0.0,0.08712136837380643,0.0
4,0.0,0.0,0.0657951694959769,0.0,0.0,0.0,0.0,0.06788442333021306,0.0
5,0.0,0.0,0.1421338109037403,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.12403473458920847,0.055048188256318034,0.10540925533894598,0.0,0.0,0.0,0.0,0.0
7,0.0,0.14008295367013146,0.07460470969529907,0.19047619047619047,0.14285714285714285,0.041239304942116126,0.05399492471560388,0.07697370086861781,0.0
8,0.0,0.17541160386140586,0.0778498944161523,0.14907119849998599,0.0,0.0,0.0,0.0,0.0
9,0.06154574548966636,0.06933752452815364,0.24618298195866545,0.2357022603955158,0.0,0.20412414523193148,0.0,0.1270001270001905,0.0
10,0.06154574548966636,0.20801257358446093,0.24618298195866545,0.35355339059327373,0.0,0.20412414523193148,0.0,0.1270001270001905,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.11826247919781652,0.0524863881081478,0.0,0.15075567228888181,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,0.0,0.0,0.0
15,0.04222003309207491,0.0,0.16888013236829963,0.16169041669088866,0.0,0.7001400420140049,0.0,0.17424273674761287,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.5070925528371099,0.08032193289024989,0.0
