de.it,1,2,3,4,5,6,7,8,9,10,11,12
1,0.5276448530110863,0.06428243465332249,0.46537892099551725,0.23836564731139803,0.0,0.5454545454545455,0.0,0.38138503569823684,0.0,0.11826247919781652,0.1583615164929792,0.4382299106011073
2,0.1889822365046136,0.16116459280507606,0.25928148942086576,0.11952286093343936,0.0,0.14245072057454747,0.05698028822981897,0.0,0.0,0.07412493166611013,0.049629166698546515,0.16903085094570333
3,0.5613413993878116,0.0,0.6301260378126045,0.45184805705753195,0.0,0.4615930911724978,0.06154574548966636,0.2581988897471611,0.0,0.0,0.1072112534837795,0.296683051981965
4,0.07372097807744857,0.12573892269238632,0.10114434748483474,0.0,0.0,0.13336626734231616,0.044455422447438706,0.09325048082403138,0.0,0.057831493196624034,0.03872015463311832,0.1483606065140521
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.1976423537605237,0.20225995873897262,0.21693045781865616,0.19999999999999996,0.0,0.381385035698237,0.19069251784911842,0.0,0.0,0.12403473458920847,0.041522739926869986,0.30052038200428266
8,0.036860489038724284,0.06286946134619316,0.0,0.0,0.0,0.08891084489487744,0.7112867591590193,0.0,0.0,0.11566298639324807,0.03872015463311832,0.09890707100936807
9,0.254000254000381,0.1624591083221647,0.21780342093451607,0.08032193289024989,0.0,0.2680438533736193,0.11487593716012255,0.16064386578049977,0.0,0.498135481386718,0.06670373459650701,0.34077710054823895
10,0.05103103630798287,0.08703882797784893,0.0700140042014005,0.0,0.0,0.061545745489666376,0.0,0.0,0.0,0.0,0.0,0.06846531968814577
11,0.20412414523193148,0.0,0.140028008402801,0.0,0.0,0.22566773346211,0.0,0.3442651863295481,0.0,0.05337605126836238,0.14294833797837264,0.22821773229381923
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.05913123959890827,0.0,0.0,0.0,0.0,0.0,0.08770580193070293
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.23717082451262844,0.0,0.16269784336399212,0.0,0.0,0.2622022120425379,0.0,0.3999999999999999,0.0,0.0,0.16609095970747995,0.21213203435596428
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.35575623676894264,0.06741998624632421,0.2711630722733202,0.0,0.0,0.381385035698237,0.0,0.3999999999999999,0.0,0.0,0.16609095970747995,0.3889087296526011
21,0.0,0.0,0.0,0.0,0.0,0.02665008954445131,0.053300179088902604,0.0,0.0,0.1386750490563073,0.046423834544262965,0.0
22,0.1846372364689991,0.0524863881081478,0.16888013236829963,0.0778498944161523,0.0,0.2041241452319315,0.1484539238050411,0.1556997888323046,0.08703882797784893,0.09656090991705353,0.0646508183835236,0.27524094128159016
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.1843024451936214,0.06286946134619316,0.10114434748483474,0.0,0.0,0.20004940101347424,0.0,0.27975144247209416,0.0,0.11566298639324807,0.1936007731655916,0.18132963018384146
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.20412414523193148,0.08703882797784893,0.140028008402801,0.0,0.0,0.2461829819586655,0.0,0.2581988897471611,0.0,0.0,0.214422506967559,0.20539595906443728
27,0.0,0.0,0.0,0.04662524041201569,0.0,0.0,0.044455422447438706,0.0,0.0,0.0,0.0,0.016484511834894678
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35355339059327373,0.0,0.0,0.0
31,0.18749999999999997,0.31980107453341566,0.25724787771376323,0.15811388300841897,0.0,0.22613350843332275,0.0753778361444409,0.0,0.0,0.0,0.06565321642986127,0.2795084971874737
32,0.20000000000000004,0.0,0.20579830217101067,0.3478505426185218,0.16035674514745465,0.30151134457776374,0.030151134457776365,0.0632455532033676,0.0,0.0,0.02626128657194452,0.10062305898749056
33,0.42640143271122083,0.0,0.29250896965085227,0.26967994498529685,0.0,0.48211825989991886,0.12856486930664499,0.26967994498529685,0.0,0.0,0.11197850219117086,0.38138503569823695
34,0.0,0.0,0.0,0.0,0.0,0.2461829819586655,0.0,0.0,0.0,0.0,0.0,0.0
35,0.30935921676911454,0.07537783614444091,0.18190171877724973,0.0,0.0,0.2931509849889644,0.053300179088902604,0.22360679774997896,0.0,0.0,0.18569533817705186,0.17787811838447135
36,0.0753778361444409,0.06428243465332249,0.051708768999501914,0.09534625892455921,0.0,0.02272727272727273,0.0,0.0,0.0,0.0,0.19795189561622398,0.016854996561581053
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16609095970747995,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.21874999999999994,0.21320071635561041,0.21437323142813602,0.07905694150420949,0.0,0.2638224265055432,0.0753778361444409,0.15811388300841897,0.0,0.0,0.13130643285972254,0.25155764746872633
40,0.12862393885688161,0.0,0.058823529411764705,0.10846522890932808,0.0,0.05170876899950193,0.10341753799900383,0.0,0.12126781251816648,0.0,0.0450377349111045,0.09587062360592132
41,0.0,0.07537783614444091,0.0,0.0,0.0,0.05330017908890262,0.0,0.0,0.0,0.0,0.046423834544262965,0.01976423537605237
42,0.2227831971697518,0.21110016546037463,0.1018853416216987,0.0,0.0,0.07463517925331656,0.05970814340265324,0.0,0.0,0.0,0.026002548374617202,0.09963167462326077
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.049029033784546004,0.0,0.0,0.0,0.0,0.029565619799454136,0.0,0.0,0.1386750490563073,0.07692307692307693,0.0,0.043852900965351466
46,0.08838834764831843,0.15075567228888181,0.12126781251816648,0.0,0.0,0.10660035817780524,0.0,0.0,0.0,0.0,0.0,0.1383496476323666
