de.en,1,2,3,4,5,6
1,0.3380617018914066,0.25819888974716115,0.22360679774997896,0.09999999999999998,0.0,0.0
2,0.1091089451179962,0.0,0.0,0.0,0.0,0.0
3,0.2857142857142857,0.1636634176769943,0.1889822365046136,0.3380617018914066,0.3779644730092272,0.3241018617760822
4,0.17928429140015903,0.09128709291752768,0.4743416490252569,0.0,0.0,0.05423261445466404
5,0.0,0.0,0.0,0.0,0.0,0.05423261445466404
6,0.0,0.0,0.0,0.21081851067789195,0.0,0.0
7,0.0,0.23570226039551587,0.0,0.0,0.0,0.0
8,0.25928148942086576,0.04950737714883372,0.25724787771376323,0.0,0.0,0.0
9,0.0,0.0,0.36514837167011066,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.14625448482542613
11,0.30304576336566325,0.07715167498104596,0.26726124191242434,0.11952286093343936,0.13363062095621217,0.27500954910846337
12,0.0,0.0,0.0,0.22360679774997896,0.0,0.08574929257125441
13,0.0944911182523068,0.0,0.0,0.22360679774997896,0.8749999999999998,0.42874646285627205
14,0.0,0.0,0.12499999999999997,0.0,0.12499999999999997,0.25724787771376323
15,0.11145564251507058,0.08512565307587487,0.14744195615489714,0.0,0.2211629342323457,0.10114434748483474
16,0.0,0.0,0.14433756729740646,0.0,0.0,0.0
