de.en,1,2,3,4,5,6
1,0.23529411764705882,0.13636363636363635,0.125,0.05263157894736842,0.0,0.0
2,0.0625,0.0,0.0,0.0,0.0,0.0
3,0.2222222222222222,0.13043478260869565,0.11764705882352941,0.16666666666666666,0.1875,0.08695652173913043
4,0.12,0.06666666666666667,0.25,0.0,0.0,0.03333333333333333
5,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
6,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
7,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
8,0.13636363636363635,0.03571428571428571,0.1,0.0,0.0,0.0
9,0.0,0.0,0.17647058823529413,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.1
11,0.2,0.047619047619047616,0.15384615384615385,0.0625,0.07142857142857142,0.16666666666666666
12,0.0,0.0,0.0,0.125,0.0,0.047619047619047616
13,0.05555555555555555,0.0,0.0,0.125,0.7777777777777778,0.2222222222222222
14,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.15789473684210525
15,0.037037037037037035,0.03225806451612903,0.041666666666666664,0.0,0.13636363636363635,0.06896551724137931
16,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
