it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.0,0.03333333333333333,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.06060606060606061,0.02857142857142857,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0
2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,1.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.02564102564102564,0.08333333333333333,0.3111111111111111,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0
5,0.0,0.02127659574468085,0.06451612903225806,0.0,0.0,0.02127659574468085,0.0,0.21428571428571427,0.20689655172413793,0.038461538461538464,0.04878048780487805,0.061224489795918366,0.0392156862745098,0.0,0.0196078431372549,0.027777777777777776,0.058823529411764705,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.022727272727272728,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.06521739130434782,0.02040816326530612,0.0,0.020833333333333332,0.0,0.1,0.0,0.07142857142857142,0.0
8,0.0,0.0,0.03225806451612903,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.05,0.1590909090909091,0.15555555555555556,0.0,0.02,0.058823529411764705,0.029411764705882353,0.023809523809523808,0.0,0.0
9,0.0,0.029411764705882353,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.1111111111111111,0.25806451612903225,0.02564102564102564,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0
10,0.0,0.043478260869565216,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.15555555555555556,0.2926829268292683,0.07407407407407407,0.04,0.027777777777777776,0.09090909090909091,0.023255813953488372,0.0,0.0
11,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.058823529411764705,0.2,0.029411764705882353,0.0,0.0,0.0,0.06666666666666667,0.0
12,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.041666666666666664,0.09259259259259259,0.01694915254237288,0.0,0.40476190476190477,0.023255813953488372,0.0,0.02,0.02564102564102564,0.0
13,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.023809523809523808,0.4,0.0,0.0,0.0,0.0
14,0.0,0.027777777777777776,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.07894736842105263,0.024390243902439025,0.0,0.025,0.0,0.7857142857142857,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.022222222222222223,0.0,0.0,0.52,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.029411764705882353,0.05263157894736842,0.0,0.0,0.14285714285714285,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.18181818181818182
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427
