de.fr,1,2,3,4,5,6,7,8,9,10,11,12
1,0.5653337710833067,0.24618298195866545,0.36625993701661486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0472455591261534,0.07715167498104597,0.16695677422593647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.3572172541558801,0.0,0.22541740866685814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.15811388300841897,0.19364916731037085,0.2793721183078313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.11058146711617285,0.06019292654288461,0.09769344135387545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.254000254000381,0.2073903389460851,0.2804963567266073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05103103630798287,0.08333333333333334,0.04508348173337163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.20412414523193148,0.05555555555555555,0.2705008904002297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.31622776601683794,0.12909944487358055,0.3142936330963102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.039043440472151525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
