de.it,1,2,3,4,5,6,7,8
1,0.1724137931034483,0.0975609756097561,0.0967741935483871,0.06451612903225806,0.0,0.0,0.0,0.0
2,0.09375,0.12195121951219512,0.06060606060606061,0.0625,0.0,0.0,0.0,0.0
3,0.08333333333333333,0.12121212121212122,0.23809523809523808,0.08695652173913043,0.05555555555555555,0.025,0.0,0.0
4,0.0,0.0,0.0,0.037037037037037035,0.15789473684210525,0.047619047619047616,0.020833333333333332,0.0
5,0.0,0.043478260869565216,0.0,0.0,0.07142857142857142,0.0196078431372549,0.09615384615384616,0.04
6,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.15384615384615385
8,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.13333333333333333
9,0.09090909090909091,0.09375,0.043478260869565216,0.09523809523809523,0.0,0.0,0.0,0.0
10,0.07407407407407407,0.08108108108108109,0.07407407407407407,0.037037037037037035,0.0,0.023255813953488372,0.0,0.0
