de.it,1,2,3,4,5,6,7,8
1,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.12195121951219512,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.09615384615384616,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
