de.en,1,2,3,4,5,6,7,8
1,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.04,0.034482758620689655
2,0.0,0.0,0.1,0.0,0.0,0.0,0.05263157894736842,0.0
3,0.0,0.0,0.0,0.13636363636363635,0.08333333333333333,0.043478260869565216,0.0,0.0
4,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0625,0.0
5,0.0,0.0,0.0,0.043478260869565216,0.2,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
8,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0
14,0.029411764705882353,0.05555555555555555,0.0,0.034482758620689655,0.0,0.07407407407407407,0.0,0.0
15,0.0,0.0,0.125,0.0,0.0,0.0,0.058823529411764705,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.047619047619047616,0.04
18,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.025,0.041666666666666664,0.09523809523809523,0.02857142857142857,0.043478260869565216,0.029411764705882353,0.03225806451612903,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.03571428571428571,0.0,0.0,0.0,0.0,0.045454545454545456,0.05263157894736842,0.0
28,0.04,0.1111111111111111,0.0,0.05,0.0,0.1111111111111111,0.0,0.0
29,0.10344827586206896,0.06666666666666667,0.0,0.08,0.0,0.08333333333333333,0.09523809523809523,0.0
30,0.03571428571428571,0.18181818181818182,0.1,0.043478260869565216,0.0,0.045454545454545456,0.1111111111111111,0.0
31,0.04,0.0,0.0,0.05,0.0,0.0,0.13333333333333333,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.038461538461538464,0.0,0.04,0.045454545454545456,0.0
34,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564
35,0.03571428571428571,0.0,0.0,0.0,0.0,0.045454545454545456,0.05263157894736842,0.0
