de.fr,1,2,3
1,0.0,0.0,0.0
2,0.09622504486493763,0.16666666666666666,0.045360921162651446
3,0.0,0.15430334996209194,0.0
4,0.0,0.08703882797784893,0.0
5,0.22360679774997896,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.23570226039551587
9,0.0,0.0,0.0
10,0.0,0.14433756729740646,0.0
11,0.0,0.0,0.0
