it.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,0.0,0.0,0.1111111111111111,0.2,0.12121212121212122,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0625,0.03225806451612903,0.034482758620689655,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.038461538461538464,0.1388888888888889,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.1111111111111111,0.0,0.16129032258064516
2,0.0,0.0,0.04411764705882353,0.04411764705882353,0.04,0.04054054054054054,0.0,0.0,0.0,0.0,0.01282051282051282,0.0273972602739726,0.04285714285714286,0.028985507246376812,0.014705882352941176,0.015625,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.014925373134328358,0.0379746835443038,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.028985507246376812,0.0,0.0547945205479452
3,0.0,0.0,0.0,0.0625,0.03571428571428571,0.05555555555555555,0.041666666666666664,0.02,0.018867924528301886,0.0,0.03508771929824561,0.03773584905660377,0.0,0.02,0.020833333333333332,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.02127659574468085,0.0,0.01639344262295082,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.0,0.05555555555555555
4,0.0,0.0,0.028985507246376812,0.028985507246376812,0.05405405405405406,0.02666666666666667,0.06060606060606061,0.028985507246376812,0.027777777777777776,0.0,0.025974025974025976,0.041666666666666664,0.057971014492753624,0.028985507246376812,0.029850746268656716,0.015625,0.015625,0.015625,0.015873015873015872,0.015873015873015872,0.030303030303030304,0.030303030303030304,0.014925373134328358,0.0379746835443038,0.02702702702702703,0.0,0.014492753623188406,0.0,0.04225352112676056,0.0,0.014705882352941176,0.0,0.028985507246376812,0.028985507246376812,0.0,0.04054054054054054
5,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.058823529411764705,0.05,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.04,0.13043478260869565,0.1,0.10344827586206896,0.041666666666666664,0.04,0.0,0.0,0.0625,0.1111111111111111,0.037037037037037035,0.08333333333333333,0.09090909090909091,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.09523809523809523,0.21052631578947367,0.15625,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.23809523809523808,0.0,0.14285714285714285
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.04,0.09090909090909091,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.05,0.05,0.029411764705882353,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.02631578947368421,0.0,0.12195121951219512,0.022727272727272728,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.05128205128205128,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.02040816326530612,0.023255813953488372,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.05714285714285714,0.02631578947368421,0.0,0.0,0.07142857142857142
14,0.0,0.025,0.043478260869565216,0.06666666666666667,0.0784313725490196,0.058823529411764705,0.021739130434782608,0.0,0.02,0.0,0.05660377358490566,0.061224489795918366,0.02040816326530612,0.02127659574468085,0.045454545454545456,0.0,0.05,0.0,0.0,0.0,0.0,0.046511627906976744,0.022727272727272728,0.1568627450980392,0.2619047619047619,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.06976744186046512,0.02127659574468085,0.06666666666666667,0.0,0.08
15,0.0,0.0,0.08823529411764706,0.05714285714285714,0.1282051282051282,0.023809523809523808,0.02857142857142857,0.0,0.0,0.0,0.046511627906976744,0.025,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.043478260869565216,0.024390243902439025,0.0,0.02857142857142857,0.0,0.14285714285714285,0.0,0.0,0.06060606060606061,0.05714285714285714,0.05714285714285714,0.0,0.16216216216216217
16,0.0,0.0,0.0,0.10714285714285714,0.08571428571428572,0.027777777777777776,0.034482758620689655,0.0,0.030303030303030304,0.0,0.05405405405405406,0.06060606060606061,0.03125,0.0,0.11538461538461539,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.07692307692307693,0.0,0.05,0.058823529411764705,0.0,0.07142857142857142,0.0,0.0625,0.0,0.11538461538461539,0.0,0.0,0.10714285714285714,0.0,0.05714285714285714
17,0.0,0.0,0.02,0.04081632653061224,0.05454545454545454,0.017857142857142856,0.0,0.0,0.0,0.0,0.03508771929824561,0.057692307692307696,0.06,0.02,0.0425531914893617,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.06896551724137931,0.037037037037037035,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.02,0.04081632653061224,0.0,0.03636363636363636
18,0.0,0.6666666666666666,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.09090909090909091,0.1111111111111111,0.2,0.5,0.2,0.25,0.25,0.0,0.125,0.0,0.045454545454545456,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.058823529411764705
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.07142857142857142,0.08333333333333333,0.1,0.0,0.4,0.4,0.2,0.2,0.0,0.1111111111111111,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.1,0.0,0.0,0.0,0.05555555555555555
21,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.06666666666666667,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.05555555555555555
22,0.0,0.2,0.08333333333333333,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.16666666666666666,0.16666666666666666,0.2,0.2,0.0,0.1111111111111111,0.0,0.0,0.0,0.25,0.0,0.25,0.06666666666666667,0.25,0.0,0.1,0.08333333333333333,0.0,0.0,0.05555555555555555
23,0.04,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.030303030303030304
