de.fr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.4880935300919764,0.0,0.0,0.040422604172722164,0.19802950859533489,0.1628251002026611,0.0,0.0834622326111986,0.0,0.0,0.0,0.0,0.19026059766179762,0.07669649888473704,0.10846522890932807,0.0,0.05638838744346009,0.19926334924652148
2,0.0,0.12909944487358058,0.0,0.0,0.0,0.04845015831115094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06711560552140244,0.0
3,0.08451542547285167,0.08451542547285165,0.0,0.25197631533948484,0.15430334996209194,0.031718073984777564,0.1781741612749496,0.3901994862858541,0.08451542547285165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08787495503274938,0.20701966780270634
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08770580193070293,0.5241424183609592,0.18490006540840973,0.0,0.0,0.0,0.0,0.0,0.09119215051751066,0.035805743701971655
6,0.15811388300841897,0.0,0.0,0.0,0.0,0.17801724872907804,0.0,0.0,0.0,0.3779644730092272,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.08219949365267865,0.0
7,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,0.5,0.0,0.0,0.0,0.0,0.0,0.08219949365267865,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14509525002200235,0.0,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.11785113019775793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.08111071056538129,0.15811388300841897,0.0,0.16666666666666666,0.0,0.2773500981126146,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.0,0.08219949365267865,0.0
13,0.0,0.0,0.0,0.0,0.0,0.06583080186766334,0.0,0.044992127066584765,0.0,0.0,0.09245003270420486,0.0,0.0,0.12403473458920847,0.2631174057921088,0.0,0.0,0.10741723110591496
14,0.0,0.0,0.0,0.09622504486493764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7216878364870323,0.06711560552140244,0.0
15,0.0,0.0,0.0,0.06804138174397717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11785113019775793,0.0,0.0,0.0,0.10206207261596574,0.14237369936287486,0.074535599249993
16,0.19364916731037088,0.0,0.0,0.04811252243246882,0.1767766952966369,0.14535047493345282,0.0,0.0,0.0,0.0,0.0,0.0,0.33968311024337877,0.0,0.19364916731037085,0.0,0.10067340828210367,0.4216370213557841
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09365858115816943,0.0,0.0,0.19245008972987526,0.0,0.16012815380508716,0.0,0.18257418583505536,0.0,0.0,0.14907119849998604
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0331133089266261,0.0,0.0,0.06804138174397717,0.0,0.0,0.0,0.06454972243679029,0.0,0.0,0.18446619684315552
