it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.42365927286816174,0.3380617018914066,0.18156825980064073,0.18156825980064073,0.15018785229652765,0.1315903389919538,0.1126872339638022,0.0,0.07715167498104596,0.044543540318737404,0.0,0.1745743121887939,0.1745743121887939,0.1126872339638022,0.11572751247156893,0.0,0.1126872339638022,0.08247860988423225,0.0,0.3175536744149779,0.0
2,0.3108809141790293,0.3307592922378892,0.3108809141790293,0.3108809141790293,0.2204155075111935,0.14484136487558028,0.12403473458920844,0.027874733666903025,0.11322770341445956,0.06537204504606135,0.0,0.16012815380508713,0.25620504608813943,0.12403473458920844,0.19814848097530424,0.0,0.1653796461189446,0.09078412990032035,0.0,0.27185747308321606,0.07161148740394328
3,0.15384615384615385,0.21483446221182986,0.2307692307692308,0.15384615384615385,0.19088542889273333,0.16724840200141816,0.1432229748078866,0.0,0.0,0.0,0.0,0.16641005886756874,0.05547001962252291,0.1432229748078866,0.147087101353638,0.0,0.21483446221182986,0.10482848367219183,0.0,0.13453455879926252,0.0
4,0.0,0.0,0.09245003270420486,0.09245003270420486,0.07647191129018724,0.0,0.08606629658238703,0.0,0.35355339059327373,0.2721655269759087,0.0,0.13333333333333333,0.06666666666666667,0.17213259316477406,0.0,0.0,0.0,0.0,0.0,0.16169041669088866,0.14907119849998599
5,0.24806946917841693,0.23094010767585027,0.12403473458920847,0.12403473458920847,0.3077935056255462,0.26967994498529685,0.23094010767585027,0.0,0.0,0.0,0.0,0.17888543819998318,0.08944271909999159,0.23094010767585027,0.23717082451262844,0.0,0.23094010767585027,0.16903085094570328,0.0,0.21693045781865616,0.0
6,0.36980013081681945,0.2581988897471611,0.09245003270420486,0.2773500981126146,0.30588764516074896,0.20100756305184242,0.08606629658238703,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.17213259316477406,0.17677669529663687,0.0,0.17213259316477406,0.1259881576697424,0.0,0.242535625036333,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.09938079899999065,0.0,0.0,0.08830215713766958,0.0,0.049690399499995326,0.335012605086404,0.06804138174397716,0.039283710065919304,0.0,0.0,0.26943012562182533,0.049690399499995326,0.0,0.0,0.0,0.036369648372665396,0.0,0.0,0.08606629658238703
9,0.0,0.07302967433402215,0.0,0.0,0.0324442842261525,0.04264014327112208,0.21908902300206642,0.22156468376279892,0.04999999999999999,0.05773502691896258,0.0,0.0,0.1414213562373095,0.0,0.0,0.0,0.0,0.05345224838248487,0.0,0.0,0.06324555320336758
10,0.0,0.04879500364742665,0.052414241836095915,0.052414241836095915,0.04335549847620599,0.0,0.0,0.0,0.0,0.03857583749052298,0.0,0.07559289460184544,0.07559289460184544,0.14638501094227996,0.03340765523905304,0.0,0.0,0.03571428571428571,0.0,0.04583492485141056,0.0
11,0.12725695259515554,0.1777046633277277,0.06362847629757777,0.06362847629757777,0.15789473684210523,0.13834289277321493,0.05923488777590923,0.03993615319154358,0.08111071056538126,0.1873171623163388,0.0,0.1835325870964494,0.22941573387056174,0.23693955110363693,0.20277677641345312,0.0,0.11846977555181847,0.08671099695241198,0.0,0.22256595362986284,0.3077935056255462
12,0.24209101306752098,0.1690308509457033,0.060522753266880246,0.12104550653376049,0.15018785229652765,0.1315903389919538,0.0563436169819011,0.0,0.07715167498104596,0.1336306209562122,0.0,0.08728715609439695,0.13093073414159545,0.1126872339638022,0.23145502494313785,0.0,0.1690308509457033,0.08247860988423225,0.0,0.15877683720748895,0.0
13,0.16724840200141816,0.23354968324845687,0.08362420100070908,0.08362420100070908,0.2075143391598224,0.18181818181818182,0.0778498944161523,0.0524863881081478,0.10660035817780521,0.12309149097933275,0.0,0.3015113445777637,0.18090680674665818,0.23354968324845687,0.26650089544451305,0.0,0.1556997888323046,0.1709408646894569,0.0,0.14625448482542613,0.13483997249264842
14,0.0,0.06900655593423542,0.0,0.0,0.0,0.0,0.0,0.046524210519923545,0.0944911182523068,0.1091089451179962,0.0,0.16035674514745463,0.10690449676496974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936
15,0.3281650616569468,0.30550504633038933,0.09376144618769908,0.14064216928154863,0.1938916835823703,0.15289415743128767,0.08728715609439694,0.029424494316824982,0.05976143046671968,0.10350983390135314,0.0,0.2704493615131253,0.33806170189140666,0.21821789023599236,0.3286878675669582,0.0,0.13093073414159542,0.12777531299998798,0.0,0.2869720215917757,0.15118578920369088
