it.en,1,2,3,4,5,6,7,8,9,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0944911182523068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06681531047810609,0.0
3,0.0,0.0,0.0,0.0,0.043852900965351466,0.06984302957695782,0.08770580193070293,0.0,0.0,0.03450327796711771
4,0.07715167498104597,0.0,0.0,0.0,0.0,0.0,0.22645540682891918,0.0,0.0545544725589981,0.0890870806374748
5,0.07412493166611013,0.18490006540840973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.06804138174397717,0.0,0.10206207261596577,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.18490006540840973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.12126781251816648,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.06950480468569159,0.0,0.05212860351426869,0.0,0.06512896090258362,0.0,0.0,0.0,0.0
10,0.10690449676496974,0.0,0.0,0.0,0.03922322702763681,0.1874085142663273,0.07844645405527362,0.05773502691896258,0.11338934190276817,0.12344267996967354
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0545544725589981,0.06804138174397717,0.0,0.0,0.0,0.0,0.08006407690254358,0.0,0.03857583749052298,0.5039526306789697
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21398024625545647
