de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,0.31814238148788887,0.0,0.5161854012087639,0.4103913408340616,0.15789473684210523,0.26315789473684204,0.15974461276617433,0.06917144638660747,0.06917144638660747,0.14509525002200233,0.1873171623163388,0.3348554112644579,0.19088542889273333,0.1873171623163388,0.12725695259515554,0.13245323570650439,0.0,0.0,0.13834289277321493,0.21052631578947364,0.11128297681493142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1873171623163388,0.0,0.146943671674129,0.0,0.08520286456846099,0.12262786789699315,0.0,0.11128297681493142
2,0.0,0.0,0.1875,0.2795084971874737,0.0,0.0,0.0,0.07537783614444091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08838834764831843,0.0,0.0,0.0,0.12126781251816648,0.3913118960624632,0.08333333333333333,0.0,0.15811388300841897,0.051031036307982884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.6172133998483676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1432229748078866,0.0,0.12909944487358055,0.23094010767585027,0.0,0.05923488777590923,0.08989331499509895,0.0778498944161523,0.0,0.0816496580927726,0.10540925533894598,0.1076763804116331,0.1432229748078866,0.10540925533894598,0.0716114874039433,0.07453559924999299,0.0,0.0,0.0778498944161523,0.11846977555181847,0.06262242910851494,0.0,0.0,0.0,0.0,0.0,0.0,0.06085806194501846,0.10540925533894598,0.0,0.0826898230594723,0.0,0.04794633014853841,0.06900655593423542,0.0,0.12524485821702988
5,0.21483446221182986,0.0,0.12909944487358055,0.1732050807568877,0.23693955110363693,0.11846977555181847,0.0,0.0,0.0778498944161523,0.0,0.0,0.16151457061744964,0.0,0.0,0.0716114874039433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04794633014853841,0.0,0.0,0.06262242910851494
6,0.0,0.0,0.0,0.12909944487358055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.24806946917841693,0.0,0.3913118960624632,0.3499999999999999,0.1025978352085154,0.3077935056255462,0.19462473604038075,0.0,0.0,0.14142135623730948,0.18257418583505536,0.3263766828841098,0.1860521018838127,0.18257418583505536,0.12403473458920847,0.12909944487358055,0.0,0.0,0.13483997249264842,0.2051956704170308,0.10846522890932808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505536,0.0,0.14322297480788657,0.0,0.08304547985373997,0.11952286093343936,0.0,0.21693045781865616
8,0.5547001962252291,0.0,0.3333333333333333,0.29814239699997197,0.15294382258037448,0.22941573387056172,0.11605177063713189,0.0,0.10050378152592121,0.10540925533894598,0.2721655269759087,0.27801921874276636,0.09245003270420486,0.13608276348795434,0.09245003270420486,0.09622504486493763,0.0,0.0,0.10050378152592121,0.15294382258037448,0.08084520834544433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13608276348795434,0.0,0.10675210253672475,0.0,0.061898446059017294,0.0890870806374748,0.0,0.08084520834544433
9,0.0,0.0,0.0,0.0,0.06362847629757777,0.0,0.09656090991705353,0.08362420100070908,0.25087260300212727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09805806756909201,0.0,0.08362420100070908,0.06362847629757777,0.0,0.12403473458920847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04441155916843276,0.0,0.0,0.07412493166611013,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25819888974716115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.19611613513818402,0.0,0.0,0.0,0.0,0.0,0.0,0.21320071635561041,0.10660035817780521,0.0,0.5773502691896258,0.0,0.09805806756909201,0.0,0.0,0.0,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.11322770341445956,0.0,0.0,0.0,0.0,0.08574929257125441
13,0.10482848367219183,0.0,0.1889822365046136,0.16903085094570328,0.0,0.08671099695241198,0.1315903389919538,0.0,0.0,0.11952286093343936,0.1543033499620919,0.39405520311955033,0.10482848367219183,0.1543033499620919,0.10482848367219183,0.1091089451179962,0.0,0.0,0.11396057645963795,0.17342199390482396,0.09166984970282112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1543033499620919,0.0,0.12104550653376046,0.0,0.07018624063435965,0.10101525445522107,0.0,0.09166984970282112
14,0.3144854510165755,0.0,0.1889822365046136,0.16903085094570328,0.17342199390482396,0.17342199390482396,0.0,0.0,0.0,0.0,0.0,0.31524416249564025,0.0,0.0,0.10482848367219183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.24019223070763074,0.0,0.21650635094610968,0.19364916731037085,0.0,0.06622661785325219,0.10050378152592121,0.08703882797784893,0.0,0.09128709291752768,0.23570226039551587,0.12038585308576923,0.4003203845127179,0.11785113019775793,0.24019223070763074,0.16666666666666669,0.0,0.0,0.08703882797784893,0.13245323570650439,0.0700140042014005,0.0,0.0,0.0,0.0,0.0,0.0,0.06804138174397717,0.11785113019775793,0.0,0.09245003270420486,0.0,0.05360562674188975,0.07715167498104597,0.0,0.140028008402801
16,0.1734944795898721,0.0,0.26064301757134345,0.23312620206007845,0.047836487323493986,0.14350946197048195,0.14519080172812554,0.0,0.06286946134619316,0.1978141420187361,0.2553769592276246,0.1739130434782609,0.3469889591797442,0.5107539184552492,0.4626519455729923,0.24077170617153845,0.0,0.09325048082403138,0.12573892269238632,0.23918243661746993,0.10114434748483474,0.0,0.0,0.09325048082403138,0.0,0.042562826537937436,0.0,0.0,0.17025130615174974,0.0,0.13355611265883557,0.0,0.07744030926623664,0.11145564251507058,0.0,0.10114434748483474
