de.it,1,2,3,4,5,6,7
1,0.1111111111111111,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0
2,0.05,0.0,0.0,0.034482758620689655,0.0,0.0,0.0
3,0.09523809523809523,0.125,0.0,0.0,0.045454545454545456,0.03571428571428571,0.0
4,0.08695652173913043,0.03571428571428571,0.0,0.0,0.0,0.03333333333333333,0.0
5,0.0,0.041666666666666664,0.0,0.0,0.05,0.0,0.07142857142857142
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.023255813953488372,0.0,0.020833333333333332,0.02564102564102564,0.06976744186046512,0.0
8,0.0,0.0,0.0,0.0,0.0,0.08,0.15384615384615385
9,0.02631578947368421,0.0,0.023809523809523808,0.0,0.0,0.0,0.0
10,0.0,0.037037037037037035,0.07692307692307693,0.03125,0.0,0.0,0.058823529411764705
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.04,0.0,0.03333333333333333,0.0,0.0,0.0
