de.it,1,2,3,4,5,6,7,8,9,10
1,0.3761920624312231,0.1933288618331376,0.08520286456846099,0.0,0.11314714296070712,0.0,0.03627381250550058,0.11128297681493142,0.13006649542861798,0.0
2,0.0,0.05383819020581655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.1076763804116331,0.0,0.0,0.0,0.0,0.0,0.10846522890932808,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0657951694959769,0.05976143046671968,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.04559607525875533,0.09656090991705353,0.043852900965351466,0.0,0.0,0.0
6,0.04714045207910317,0.0,0.11744404390294069,0.0,0.20795009796401456,0.11009637651263607,0.09999999999999998,0.07669649888473704,0.0,0.0
7,0.0,0.0,0.1072112534837795,0.0,0.0,0.0,0.27386127875258304,0.0,0.0,0.06804138174397717
8,0.2390457218668787,0.09652341781316803,0.049629166698546515,0.0,0.17574991006549875,0.046524210519923545,0.042257712736425826,0.0,0.15152288168283162,0.0
9,0.21081851067789192,0.12768847961381227,0.06565321642986127,0.0,0.17437145811572893,0.0,0.0,0.0,0.13363062095621217,0.0
10,0.12171612389003691,0.0,0.1516196087157807,0.0,0.06711560552140244,0.0,0.06454972243679029,0.0,0.07715167498104596,0.1924500897298753
11,0.0,0.0,0.0,0.0,0.0949157995752499,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.058722021951470346,0.0,0.0,0.0,0.0,0.0,0.05976143046671968,0.07453559924999299
13,0.2817180849095055,0.09100315103865801,0.07018624063435965,0.0,0.12427395320024001,0.0,0.0,0.0,0.14285714285714285,0.0
