de.it,1,2,3,4,5,6,7,8,9,10
1,0.15555555555555556,0.07017543859649122,0.05,0.0,0.047619047619047616,0.0,0.019230769230769232,0.06451612903225806,0.05128205128205128,0.0
2,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.023255813953488372,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.025,0.04878048780487805,0.02040816326530612,0.0,0.0,0.0
6,0.022222222222222223,0.0,0.058823529411764705,0.0,0.08571428571428572,0.05263157894736842,0.044444444444444446,0.038461538461538464,0.0,0.0
7,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.12195121951219512,0.0,0.0,0.038461538461538464
8,0.044444444444444446,0.037037037037037035,0.027777777777777776,0.0,0.08333333333333333,0.025,0.02127659574468085,0.0,0.058823529411764705,0.0
9,0.047619047619047616,0.06,0.030303030303030304,0.0,0.09090909090909091,0.0,0.0,0.0,0.06451612903225806,0.0
10,0.024390243902439025,0.0,0.06666666666666667,0.0,0.030303030303030304,0.0,0.023809523809523808,0.0,0.03333333333333333,0.09090909090909091
11,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.037037037037037035
13,0.075,0.04,0.03125,0.0,0.06060606060606061,0.0,0.0,0.0,0.06666666666666667,0.0
