de.en,1,2,3,4,5,6
1,0.18181818181818182,0.11396057645963795,0.0,0.10660035817780521,0.21320071635561047,0.0
2,0.0,0.0,0.0,0.05892556509887895,0.23570226039551584,0.19245008972987526
3,0.0,0.0,0.0,0.0,0.23570226039551584,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.16116459280507606,0.0,0.11306675421666135,0.15075567228888181,0.12309149097933272
6,0.09534625892455924,0.0,0.0,0.05590169943749474,0.223606797749979,0.0
7,0.0,0.0,0.26650089544451305,0.0,0.0,0.0
8,0.09090909090909091,0.11396057645963795,0.0,0.0,0.0,0.0
9,0.07106690545187015,0.0,0.0,0.041666666666666664,0.11111111111111113,0.0
10,0.13483997249264842,0.0,0.09534625892455921,0.11858541225631422,0.05270462766947299,0.0
11,0.0,0.0,0.06154574548966636,0.0,0.0,0.0
12,0.10660035817780521,0.0,0.0,0.18749999999999997,0.16666666666666666,0.0
13,0.0778498944161523,0.0975900072948533,0.0,0.0,0.06085806194501846,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.2886751345948129,0.0
16,0.0,0.0,0.0,0.0,0.09622504486493764,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.10660035817780521,0.0,0.0753778361444409,0.18749999999999997,0.08333333333333333,0.0
22,0.10660035817780521,0.0,0.0753778361444409,0.12499999999999997,0.08333333333333333,0.0
23,0.25087260300212727,0.10482848367219183,0.0,0.049029033784546004,0.1307440900921227,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.07106690545187015,0.0,0.0,0.0
26,0.10050378152592121,0.1259881576697424,0.0,0.0,0.0,0.0
