de.it,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.15555555555555556,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.07407407407407407,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
2,0.06666666666666667,0.07692307692307693,0.0,0.07317073170731707,0.12,0.058823529411764705,0.018867924528301886,0.0,0.044444444444444446,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.03225806451612903
3,0.08108108108108109,0.05263157894736842,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.07894736842105263,0.23529411764705882,0.0,0.027777777777777776,0.05,0.044444444444444446,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.047619047619047616,0.08,0.041666666666666664
5,0.044444444444444446,0.038461538461538464,0.09090909090909091,0.075,0.038461538461538464,0.06,0.019230769230769232,0.0,0.06976744186046512,0.0,0.0196078431372549,0.043478260869565216,0.0,0.0,0.03125,0.03333333333333333
6,0.0,0.038461538461538464,0.0,0.13157894736842105,0.0,0.019230769230769232,0.0,0.0,0.022222222222222223,0.0,0.0196078431372549,0.0,0.0,0.037037037037037035,0.0,0.0
7,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.08333333333333333,0.05405405405405406,0.022727272727272728,0.0,0.0,0.0,0.0,0.0
8,0.027777777777777776,0.0,0.0,0.1,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.02127659574468085,0.0,0.0,0.0,0.07692307692307693,0.038461538461538464,0.018867924528301886,0.0,0.0,0.0,0.019230769230769232,0.041666666666666664,0.0,0.0,0.0,0.03225806451612903
10,0.02702702702702703,0.058823529411764705,0.0,0.0625,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525
11,0.047619047619047616,0.0,0.0,0.0,0.0,0.02040816326530612,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.025,0.0,0.0,0.18604651162790697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
14,0.05128205128205128,0.0,0.0,0.027777777777777776,0.16666666666666666,0.021739130434782608,0.09302325581395349,0.0,0.02564102564102564,0.0,0.0,0.0,0.041666666666666664,0.047619047619047616,0.038461538461538464,0.041666666666666664
15,0.022727272727272728,0.041666666666666664,0.047619047619047616,0.07894736842105263,0.041666666666666664,0.04081632653061224,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
16,0.024390243902439025,0.0,0.05555555555555555,0.0,0.047619047619047616,0.0,0.02127659574468085,0.0,0.0,0.0,0.021739130434782608,0.0,0.08333333333333333,0.045454545454545456,0.037037037037037035,0.0
17,0.0,0.0,0.06666666666666667,0.029411764705882353,0.0,0.022727272727272728,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0
18,0.02127659574468085,0.0,0.0,0.047619047619047616,0.0,0.018867924528301886,0.0,0.0,0.021739130434782608,0.0,0.1276595744680851,0.0,0.0,0.20833333333333334,0.0,0.0
