fr.en,1,2,3,4,5,6,7,8,9,10,11,12
1,0.15075567228888181,0.11396057645963795,0.21320071635561041,0.06917144638660747,0.0,0.0,0.0,0.08362420100070908,0.0,0.0,0.24784079854830482,0.27668578554642986
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.13245323570650439,0.0,0.0,0.0,0.0,0.0,0.0,0.0949157995752499,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0629940788348712,0.05892556509887895,0.07647191129018724,0.0,0.0,0.0,0.18490006540840973,0.0629940788348712,0.0,0.054799662435119086,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08006407690254358,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.0,0.0,0.07254762501100116
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.07018624063435965,0.06565321642986127,0.08520286456846099,0.058722021951470346,0.05150262026246048,0.18569533817705186,0.10300524052492097,0.07018624063435965,0.0,0.030528125543633173,0.042601432284230495
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.10482848367219183,0.0,0.0,0.06362847629757777
13,0.0,0.0,0.07071067811865475,0.0,0.12649110640673517,0.05547001962252291,0.0,0.0,0.15118578920369088,0.0,0.0,0.04588314677411235
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12403473458920847,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.15789473684210523,0.0,0.06362847629757777,0.0,0.06362847629757777,0.0,0.0,0.0377157143202357,0.0
16,0.0,0.0,0.0,0.0,0.0,0.08006407690254358,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04055535528269063
18,0.0,0.0,0.0,0.047836487323493986,0.0,0.0,0.0,0.057831493196624034,0.0,0.0,0.0,0.0
