de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.05555555555555555,0.13333333333333333,0.1,0.0,0.05,0.0,0.058823529411764705,0.0,0.05,0.14285714285714285,0.07317073170731707,0.10526315789473684,0.06818181818181818,0.05,0.08333333333333333,0.041666666666666664,0.07407407407407407,0.058823529411764705
2,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
3,0.0,0.0,0.1,0.0,0.05,0.0,0.125,0.0,0.024390243902439025,0.03225806451612903,0.023255813953488372,0.0,0.0,0.0,0.04,0.0,0.0,0.058823529411764705
4,0.0,0.0,0.0,0.0,0.0625,0.0,0.07692307692307693,0.043478260869565216,0.02702702702702703,0.037037037037037035,0.02564102564102564,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.03125,0.044444444444444446,0.027777777777777776,0.020833333333333332,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.03125,0.045454545454545456,0.029411764705882353,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0
8,0.0,0.09090909090909091,0.0625,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.125,0.02631578947368421,0.06666666666666667,0.05,0.06666666666666667,0.0,0.05263157894736842,0.043478260869565216,0.08333333333333333
9,0.0,0.0,0.0,0.0,0.05555555555555555,0.07692307692307693,0.0,0.0,0.0,0.1111111111111111,0.0,0.05555555555555555,0.022727272727272728,0.0,0.0,0.0,0.038461538461538464,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.030303030303030304,0.043478260869565216,0.02857142857142857,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0
12,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.043478260869565216,0.0,0.038461538461538464,0.0
13,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.07692307692307693,0.11764705882352941,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07407407407407407,0.05128205128205128,0.058823529411764705,0.047619047619047616,0.058823529411764705,0.0,0.047619047619047616,0.04,0.07142857142857142
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
