de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.18257418583505539,0.31622776601683794,0.16666666666666666,0.0,0.15713484026367722,0.0,0.1924500897298753,0.0,0.12909944487358058,0.39317854974639244,0.19920476822239894,0.20412414523193154,0.15936381457791915,0.15713484026367722,0.18898223650461363,0.1307440900921227,0.17149858514250885,0.1924500897298753
2,0.0,0.0,0.2357022603955158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154
3,0.0,0.0,0.2721655269759087,0.0,0.09622504486493763,0.0,0.23570226039551587,0.0,0.05270462766947299,0.12038585308576923,0.048795003647426664,0.0,0.0,0.0,0.07715167498104597,0.0,0.0,0.11785113019775793
4,0.0,0.0,0.0,0.0,0.1178511301977579,0.0,0.14433756729740646,0.08838834764831843,0.06454972243679027,0.14744195615489714,0.05976143046671968,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.08084520834544433,0.0,0.0,0.06063390625908324,0.08856148855400953,0.10114434748483474,0.040996003084539386,0.0,0.0,0.0,0.06482037235521644,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.19245008972987526,0.0,0.0,0.0,0.10540925533894598,0.24077170617153845,0.09759000729485333,0.0,0.0,0.0,0.15430334996209194,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09759000729485333,0.0,0.0,0.0,0.0,0.0
8,0.0,0.14142135623730948,0.07453559924999298,0.0,0.0,0.0,0.12909944487358058,0.0,0.0,0.2637521893583148,0.05345224838248487,0.09128709291752768,0.16035674514745463,0.10540925533894598,0.0,0.08770580193070293,0.07669649888473704,0.12909944487358058
9,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.0,0.0,0.0,0.20851441405707477,0.0,0.07216878364870323,0.042257712736425826,0.0,0.0,0.0,0.06063390625908324,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5443310539518174,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.09128709291752768,0.20851441405707477,0.08451542547285165,0.0,0.0,0.0,0.1336306209562122,0.0,0.0,0.0
12,0.0,0.0,0.07453559924999298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10690449676496974,0.0,0.08451542547285165,0.0,0.07669649888473704,0.0
13,0.0,0.0,0.08333333333333331,0.0,0.0,0.0,0.0,0.0,0.06454972243679027,0.0,0.0,0.0,0.05976143046671968,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.14907119849998599,0.15713484026367722,0.0,0.0,0.0,0.13608276348795434,0.0,0.0,0.13900960937138318,0.1126872339638022,0.09622504486493763,0.1126872339638022,0.1111111111111111,0.0,0.09245003270420486,0.08084520834544433,0.13608276348795434
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
