fr.en,1,2,3,4,5,6
1,0.5,0.0,0.0,0.0,0.0,0.0
2,0.0,0.2727272727272727,0.0,0.0,0.0,0.0
3,0.0,0.0,0.4642857142857143,0.0,0.0,0.0
4,0.0,0.0,0.0,0.56,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.5217391304347826,0.0
7,0.0,0.0,0.0,0.0,0.0,1.0
