it.en,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.6761234037828131,0.0,0.0816496580927726,0.15811388300841897,0.0,0.0,0.07669649888473704,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1543033499620919,0.23570226039551587,0.07453559924999299,0.0,0.0,0.0,0.0700140042014005,0.0,0.0,0.20412414523193154,0.0,0.0,0.0
3,0.07412493166611012,0.0,0.0,0.20801257358446093,0.16012815380508716,0.06933752452815364,0.03363363969981562,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1543033499620919,0.0,0.07453559924999299,0.0,0.0,0.14433756729740646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.07071067811865475,0.0,0.07071067811865475,0.2057983021710106,0.0,0.0,0.0,0.0,0.0,0.035355339059327376
6,0.0,0.19245008972987526,0.06085806194501846,0.0,0.0,0.0,0.057166195047502935,0.0,0.0,0.0,0.0,0.0,0.0
7,0.20965696734438366,0.16012815380508716,0.05063696835418333,0.09805806756909201,0.0,0.0,0.14269544824634822,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.04564354645876384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.04188539082916955,0.0,0.0,0.08111071056538126,0.0,0.08671099695241198,0.0,0.0,0.0,0.0,0.0
10,0.1543033499620919,0.0,0.0,0.14433756729740646,0.0,0.0,0.0700140042014005,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.12909944487358058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.1091089451179962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.06482037235521643,0.2857142857142857,0.1889822365046136,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.09805806756909201,0.047565149415449405,0.0,0.0,0.0,0.0,0.0,0.049029033784546004
16,0.0,0.0,0.0,0.0,0.0,0.0,0.04583492485141056,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.13363062095621217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10660035817780521,0.0,0.0
20,0.0,0.12598815766974242,0.07968190728895957,0.0,0.0,0.0,0.18712029714127992,0.0,0.0,0.0,0.0,0.0,0.0
