Topic, Languages, Maximum value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
SIAI S.58,de.en,0.23529411764705882,22,16,9.090909090909092,12.5,yes,no,no,no
SIAI S.58,it.fr,0.25925925925925924,9,15,33.33333333333333,20.0,yes,yes,no,no
SIAI S.58,it.en,0.25,9,16,22.22222222222222,12.5,yes,no,no,no
SIAI S.58,fr.en,0.7333333333333333,15,16,100.0,93.75,yes,yes,yes,yes
SIAI S.22,de.it,0.14705882352941177,13,15,30.76923076923077,33.33333333333333,yes,no,no,no
SIAI S.22,de.fr,0.1956521739130435,13,2,15.384615384615385,100.0,yes,no,no,no
SIAI S.22,de.en,0.16,13,2,15.384615384615385,100.0,yes,no,no,no
SIAI S.22,it.fr,0.13333333333333333,15,2,13.333333333333334,100.0,yes,no,no,no
SIAI S.22,it.en,0.0,15,2,0.0,0.0,no,no,no,no
SIAI S.22,fr.en,0.5625,2,2,100.0,100.0,yes,no,no,no
SIAI S.13,de.it,0.0,10,1,0.0,0.0,no,no,no,no
SIAI S.13,de.fr,0.19230769230769232,10,9,50.0,55.55555555555556,yes,yes,no,no
SIAI S.13,de.en,0.21739130434782608,10,8,40.0,50.0,yes,no,no,no
SIAI S.13,it.fr,0.0,1,9,0.0,0.0,no,no,no,no
SIAI S.13,it.en,0.0,1,8,0.0,0.0,no,no,no,no
SIAI S.13,fr.en,0.75,9,8,88.88888888888889,100.0,yes,yes,yes,yes
SIAI S.9,de.it,0.12195121951219512,13,10,15.384615384615385,20.0,yes,no,no,no
SIAI S.9,de.fr,0.0,13,1,0.0,0.0,no,no,no,no
SIAI S.9,de.en,0.0,13,2,0.0,0.0,no,no,no,no
SIAI S.9,it.fr,0.0,10,1,0.0,0.0,no,no,no,no
SIAI S.9,it.en,0.0,10,2,0.0,0.0,no,no,no,no
SIAI S.9,fr.en,0.0,1,2,0.0,0.0,no,no,no,no
Supermarine S.5,de.it,0.0,13,15,0.0,0.0,no,no,no,no
