Topic, Languages, Maximum value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
SIAI S.58,de.en,0.38138503569823695,22,16,9.090909090909092,12.5,yes,no,no,no
SIAI S.58,it.fr,0.41247895569215276,9,15,44.44444444444444,26.666666666666668,yes,no,no,no
SIAI S.58,it.en,0.4001633653325206,9,16,44.44444444444444,25.0,yes,no,no,no
SIAI S.58,fr.en,0.8625819491779427,15,16,100.0,93.75,yes,yes,yes,yes
SIAI S.22,de.it,0.28603877677367767,13,15,15.384615384615385,13.333333333333334,yes,no,no,no
SIAI S.22,de.fr,0.0,13,2,0.0,0.0,no,no,no,no
SIAI S.22,de.en,0.27695585470349865,13,2,15.384615384615385,100.0,yes,no,no,no
SIAI S.22,it.fr,0.24845199749997662,15,2,13.333333333333334,100.0,yes,no,no,no
SIAI S.22,it.en,0.0,15,2,0.0,0.0,no,no,no,no
SIAI S.22,fr.en,0.6670137985134996,2,2,100.0,100.0,yes,no,no,no
SIAI S.13,de.it,0.0,10,1,0.0,0.0,no,no,no,no
SIAI S.13,de.fr,0.3779644730092272,10,9,40.0,44.44444444444444,yes,no,no,no
SIAI S.13,de.en,0.0,10,8,0.0,0.0,no,no,no,no
SIAI S.13,it.fr,0.0,1,9,0.0,0.0,no,no,no,no
SIAI S.13,it.en,0.0,1,8,0.0,0.0,no,no,no,no
SIAI S.13,fr.en,0.8593378488473195,9,8,88.88888888888889,100.0,yes,yes,yes,yes
SIAI S.9,de.it,0.27386127875258304,13,10,15.384615384615385,20.0,yes,no,no,no
SIAI S.9,de.fr,0.0,13,1,0.0,0.0,no,no,no,no
SIAI S.9,de.en,0.0,13,2,0.0,0.0,no,no,no,no
SIAI S.9,it.fr,0.0,10,1,0.0,0.0,no,no,no,no
SIAI S.9,it.en,0.0,10,2,0.0,0.0,no,no,no,no
SIAI S.9,fr.en,0.0,1,2,0.0,0.0,no,no,no,no
Supermarine S.5,de.it,0.0,13,15,0.0,0.0,no,no,no,no
Supermarine S.5,de.fr,0.30382181012509996,13,20,23.076923076923077,15.0,yes,yes,no,no
Supermarine S.5,de.en,0.0,13,21,0.0,0.0,no,no,no,no
Supermarine S.5,it.fr,0.48852715085276033,15,20,13.333333333333334,10.0,yes,no,no,no
Supermarine S.5,it.en,0.33806170189140666,15,21,13.333333333333334,9.523809523809524,yes,no,no,no
Supermarine S.5,fr.en,1.0,20,21,100.0,90.47619047619048,yes,yes,yes,yes
Macchi M.33,de.it,0.40201512610368484,7,4,42.857142857142854,75.0,yes,yes,no,no
Macchi M.33,de.fr,0.4082482904638632,7,8,71.42857142857143,62.5,yes,yes,no,no
Macchi M.33,it.fr,0.0,4,8,0.0,0.0,no,no,no,no
Curtiss R3C,de.it,0.0,12,4,0.0,0.0,no,no,no,no
Curtiss R3C,de.fr,0.5143444998736397,12,11,33.33333333333333,36.36363636363637,yes,no,no,no
Curtiss R3C,de.en,0.6837634587578276,12,11,58.333333333333336,63.63636363636363,yes,yes,yes,yes
Curtiss R3C,it.fr,0.0,4,11,0.0,0.0,no,no,no,no
Curtiss R3C,it.en,0.0,4,11,0.0,0.0,no,no,no,no
Curtiss R3C,fr.en,0.9304842103984708,11,11,100.0,100.0,yes,yes,yes,yes
