fr.en,1,2,3,4
1,0.4444444444444444,0.0,0.0,0.0
2,0.0,0.4090909090909091,0.0,0.0
3,0.0,0.0,0.4,0.0
4,0.0,0.0,0.0,0.47058823529411764
