de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,0.3086066999241839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0
2,0.07412493166611013,0.22645540682891918,0.16724840200141816,0.1307440900921227,0.0,0.12688648033134411,0.08882311833686551,0.10482848367219183,0.0,0.14824986333222026,0.0,0.08770580193070293,0.11566298639324807,0.09245003270420486,0.1386750490563073,0.0,0.08362420100070908,0.0716114874039433,0.0,0.060522753266880246,0.16012815380508716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08006407690254358,0.0,0.0,0.057831493196624034,0.0,0.09805806756909201,0.16012815380508716,0.0716114874039433,0.0,0.0,0.12403473458920847,0.0,0.0
3,0.07412493166611013,0.5661385170722979,0.0,0.0,0.09245003270420486,0.2960684541064696,0.22205779584216379,0.20965696734438366,0.1307440900921227,0.14824986333222026,0.1386750490563073,0.0,0.0,0.09245003270420486,0.1386750490563073,0.2631174057921088,0.25087260300212727,0.0,0.07412493166611013,0.24209101306752098,0.0,0.09805806756909201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08006407690254358,0.08770580193070293,0.0,0.0,0.0,0.0,0.16012815380508716,0.0,0.12725695259515554,0.08006407690254358,0.062017367294604234,0.0,0.0
4,0.0,0.12909944487358058,0.4767312946227962,0.0,0.0,0.0,0.050636968354183326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1690308509457033,0.0
5,0.2988071523335984,0.0,0.0,0.3689323936863109,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.0,0.0,0.09325048082403138,0.07453559924999299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.22360679774997896,0.0,0.22360679774997896,0.16903085094570328,0.14142135623730948,0.19999999999999996,0.12909944487358055,0.14142135623730948,0.10846522890932808,0.18650096164806276,0.13483997249264842,0.0,0.12909944487358055,0.0,0.0,0.12909944487358055,0.0,0.0,0.12909944487358055
6,0.0,0.0545544725589981,0.08058229640253803,0.0,0.44543540318737396,0.0,0.04279604925109129,0.0,0.0,0.0,0.0,0.0,0.0,0.0890870806374748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944911182523068,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.11952286093343936,0.09128709291752768,0.13483997249264842,0.10540925533894598,0.0,0.34099716973523686,0.14322297480788657,0.16903085094570328,0.0,0.11952286093343936,0.0,0.14142135623730948,0.18650096164806276,0.14907119849998599,0.22360679774997896,0.0,0.13483997249264842,0.11547005383792514,0.0,0.09759000729485333,0.2581988897471611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09325048082403138,0.0,0.15811388300841897,0.12909944487358055,0.11547005383792514,0.0,0.0,0.19999999999999996,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.08459098688756274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.09925833339709303,0.0,0.0,0.08753762190648172,0.0,0.0,0.0,0.0,0.0,0.049629166698546515,0.0,0.0,0.03872015463311832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049629166698546515,0.09284766908852593,0.06565321642986127,0.09284766908852593,0.07018624063435965,0.058722021951470346,0.08304547985373997,0.05360562674188975,0.058722021951470346,0.0450377349111045,0.07744030926623664,0.05598925109558543,0.0,0.05360562674188975,0.0,0.0,0.05360562674188975,0.041522739926869986,0.0,0.0
10,0.15152288168283162,0.3471825374147068,0.11396057645963795,0.0890870806374748,0.0629940788348712,0.7781270639007174,0.27235238970096104,0.3571428571428571,0.0890870806374748,0.30304576336566325,0.0944911182523068,0.11952286093343936,0.4334607234315054,0.1889822365046136,0.2834733547569204,0.2988071523335984,0.2849014411490949,0.0975900072948533,0.050507627227610534,0.24743582965269675,0.2182178902359924,0.06681531047810609,0.11396057645963795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0545544725589981,0.05976143046671968,0.0,0.07881104062391006,0.0,0.13363062095621217,0.2182178902359924,0.14638501094227996,0.08671099695241198,0.0545544725589981,0.21128856368212912,0.0,0.0
