it.fr,1,2,3,4
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.15151515151515152,0.0
3,0.13333333333333333,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.35,0.0,0.0
6,0.0,0.0,0.0,0.0
