it.fr,1,2,3,4
1,0.08,0.0,0.07317073170731707,0.0
2,0.10526315789473684,0.0,0.15151515151515152,0.0
3,0.13333333333333333,0.0,0.030303030303030304,0.0
4,0.1,0.0,0.05405405405405406,0.0
5,0.0,0.35,0.0,0.0
6,0.058823529411764705,0.027777777777777776,0.0,0.0
