de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.1432229748078866,0.0,0.10482848367219183,0.0,0.0,0.0,0.12403473458920847,0.07692307692307693,0.16012815380508716,0.20965696734438366,0.294174202707276,0.3721042037676254,0.3344968040028363,0.0,0.11826247919781652,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.3418817293789138,0.13483997249264842,0.30151134457776363,0.2461829819586655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386750490563073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.5070925528371099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33806170189140655
7,0.0975900072948533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294174202707276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
